kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,ODS,ČSSD,KSČM,ANO 2011,SPD,Piráti,COS,Rado. Č.,STAN,Zelený,ROZUMNÍ,SSO,BPI,ODA,EU referendum,TOP 09,DB 2016,SPR,Křesťaní,ČSNS,REALIST,SPORT,DSSS,SPO
537837,Stará Lysá,445,293,292,32,"0,34",11,2,44,13,1,0,"0,00","3,76",0,"0,00",18,"6,16",4,"1,36","0,68",6,"2,05",0,"0,00",0,"0,00","15,06"
534889,Starý Vestec,127,90,88,9,"3,40",8,2,8,9,3,0,"0,00","9,09",0,"0,00",5,"5,68",0,"0,00","2,27",0,"0,00",0,"0,00",0,"0,00","9,09"
537853,Straky,414,259,258,20,"0,00",16,8,23,14,0,1,"0,38","6,20",0,"0,00",20,"7,75",1,"0,38","3,10",1,"0,38",1,"0,38",0,"0,00","8,91"
537861,Stratov,432,269,266,26,"0,37",17,1,53,29,1,0,"0,00","6,39",0,"0,00",13,"4,88",1,"0,37","0,37",1,"0,37",0,"0,00",0,"0,00","19,92"
537896,Třebestovice,651,422,419,45,"0,00",23,3,43,25,0,1,"0,23","5,48",0,"0,00",32,"7,63",8,"1,90","0,71",3,"0,71",0,"0,00",0,"0,00","10,26"
537900,Úmyslovice,264,158,157,7,"0,00",10,5,13,11,0,0,"0,00","6,36",0,"0,00",23,"14,64",0,"0,00","3,18",1,"0,63",2,"1,27",0,"0,00","8,28"
536083,Velenice,176,107,106,5,"0,00",3,1,12,14,0,0,"0,00","2,83",0,"0,00",10,"9,43",1,"0,94","0,94",0,"0,00",0,"0,00",0,"0,00","11,32"
534871,Velenka,238,160,158,24,"1,26",10,2,19,13,2,1,"0,63","6,32",1,"0,63",15,"9,49",0,"0,00","1,26",0,"0,00",1,"0,63",0,"0,00","12,02"
537942,Vestec,246,160,158,11,"0,63",12,1,16,19,1,0,"0,00","7,59",0,"0,00",12,"7,59",1,"0,63","0,63",3,"1,89",2,"1,26",0,"0,00","10,12"
537951,Vlkov pod Oškobrhem,63,46,46,3,"0,00",6,2,3,5,0,0,"0,00","13,04",0,"0,00",3,"6,52",0,"0,00","4,34",0,"0,00",0,"0,00",0,"0,00","6,52"
599611,Vrbice,141,104,104,12,"0,00",6,1,6,9,0,0,"0,00","5,76",0,"0,00",3,"2,88",2,"1,92","0,96",1,"0,96",0,"0,00",0,"0,00","5,76"
537977,Vrbová Lhota,408,240,240,38,"0,00",20,4,20,9,0,0,"0,00","8,33",0,"0,00",32,"13,33",4,"1,66","1,66",5,"2,08",0,"0,00",0,"0,00","8,33"
537985,Všechlapy,573,369,368,28,"0,00",21,3,32,26,0,0,"0,00","5,70",0,"0,00",22,"5,97",5,"1,35","0,81",4,"1,08",2,"0,54",0,"0,00","8,69"
537993,Vykáň,315,183,181,21,"5,52",11,6,15,15,10,0,"0,00","6,07",0,"0,00",9,"4,97",2,"1,10","3,31",1,"0,55",0,"0,00",0,"0,00","8,28"
534471,Záhornice,320,181,178,21,"0,00",13,0,13,15,0,0,"0,00","7,30",0,"0,00",5,"2,80",2,"1,12","0,00",1,"0,56",0,"0,00",1,"0,56","7,30"
599697,Zbožíčko,181,103,103,4,"0,00",10,1,12,10,0,0,"0,00","9,70",0,"0,00",6,"5,82",4,"3,88","0,97",0,"0,00",0,"0,00",0,"0,00","11,65"
534862,Zvěřínek,195,154,154,33,"0,00",10,0,22,13,0,0,"0,00","6,49",0,"0,00",7,"4,54",0,"0,00","0,00",1,"0,64",0,"0,00",0,"0,00","14,28"
503410,Žitovlice,150,85,83,6,"0,00",6,1,7,8,0,0,"0,00","7,22",0,"0,00",2,"2,40",1,"1,20","1,20",1,"1,20",0,"0,00",0,"0,00","8,43"
