kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,ODS,ČSSD,KSČM,ANO 2011,SPD,Piráti,COS,Rado. Č.,STAN,Zelený,ROZUMNÍ,SSO,BPI,ODA,EU referendum,TOP 09,DB 2016,SPR,Křesťaní,ČSNS,REALIST,SPORT,DSSS,SPO
000000,Neznámá obec,190,144,143,27,"0,00",8,2,18,14,0,0,"0,00","5,59",0,"0,00",5,"3,49",2,"1,39","1,39",1,"0,69",0,"0,00",1,"0,69","12,58"
000000,Neznámá obec,418,246,242,19,"0,00",14,1,21,30,0,0,"0,00","5,78",0,"0,00",11,"4,54",5,"2,06","0,41",3,"1,23",0,"0,00",0,"0,00","8,67"
000000,Neznámá obec,1983,1314,1305,169,"0,15",71,8,134,121,2,2,"0,15","5,44",1,"0,07",184,"14,09",23,"1,76","0,61",17,"1,30",2,"0,15",0,"0,00","10,26"
000000,Neznámá obec,479,293,292,25,"0,00",17,2,39,32,0,0,"0,00","5,82",1,"0,34",12,"4,10",6,"2,05","0,68",4,"1,36",0,"0,00",1,"0,34","13,35"
000000,Neznámá obec,288,148,148,16,"0,00",8,1,17,18,0,0,"0,00","5,40",1,"0,67",10,"6,75",4,"2,70","0,67",3,"2,02",0,"0,00",1,"0,67","11,48"
000000,Neznámá obec,3626,2396,2376,345,"0,08",164,13,341,153,2,2,"0,08","6,90",3,"0,12",114,"4,79",38,"1,59","0,54",56,"2,35",3,"0,12",5,"0,21","14,35"
000000,Neznámá obec,1365,995,988,175,"0,10",53,13,122,49,1,0,"0,00","5,36",3,"0,30",64,"6,47",9,"0,91","1,31",13,"1,31",1,"0,10",0,"0,00","12,34"
000000,Neznámá obec,805,535,533,64,"0,00",21,3,77,39,0,0,"0,00","3,93",0,"0,00",26,"4,87",9,"1,68","0,56",12,"2,25",1,"0,18",1,"0,18","14,44"
000000,Neznámá obec,2472,1448,1440,161,"0,34",129,21,130,153,5,0,"0,00","8,95",1,"0,06",115,"7,98",29,"2,01","1,45",14,"0,97",3,"0,20",1,"0,06","9,02"
000000,Neznámá obec,1984,1223,1219,98,"0,00",93,14,140,128,0,2,"0,16","7,62",3,"0,24",42,"3,44",13,"1,06","1,14",20,"1,64",4,"0,32",1,"0,08","11,48"
